hours, minutes, seconds, microseconds, status, latitude, North/South, longitude, East/West
Initializing GPS
,,
18,45,25,610091,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,26,127090,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,26,640090,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,27,148008,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,27,661094,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,28,174094,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,28,690094,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,29,203092,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,29,719094,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,30,232094,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,30,745093,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,31,272093,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,31,786093,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,32,299096,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,32,815092,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,33,328092,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,33,841090,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,34,354090,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,34,866624,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,35,380094,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,35,897094,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,36,413096,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,36,927093,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,37,440093,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,37,953093,MTKGPS*08
,,,,
18,45,38,466093,V,,,,
18,45,38,979096,V,,,,
18,45,39,495093,V,,,,
18,45,40,8095,V,,,,
18,45,40,521175,V,,,,
18,45,41,34091,V,,,,
18,45,41,547093,MTKGPS*08
,,,,
18,45,42,60093,MTKGPS*08
,,,,
18,45,42,572797,MTKGPS*08
,,,,
18,45,43,96093,MTKGPS*08
,,,,
18,45,43,609093,MTKGPS*08
,,,,
18,45,44,125093,MTKGPS*08
,,,,
18,45,44,638093,MTKGPS*08
,,,,
18,45,45,151093,MTKGPS*08
,,,,
18,45,45,664093,MTKGPS*08
,,,,
18,45,46,177093,MTKGPS*08
,,,,
18,45,46,693093,MTKGPS*08
,,,,
18,45,47,212093,MTKGPS*08
,,,,
18,45,47,725091,MTKGPS*08
,,,,
18,45,48,238093,MTKGPS*08
,,,,
18,45,48,753093,MTKGPS*08
,,,,
18,45,49,266090,MTKGPS*08
,,,,
18,45,49,778715,MTKGPS*08
,,,,
18,45,50,292642,MTKGPS*08
,,,,
18,45,50,805094,MTKGPS*08
,,,,
18,45,51,318093,MTKGPS*08
,,,,
18,45,51,831093,MTKGPS*08
,,,,
18,45,52,344793,MTKGPS*08
,,,,
18,45,52,859093,MTKGPS*08
,,,,
18,45,53,372094,MTKGPS*08
,,,,
18,45,53,888093,MTKGPS*08
,,,,
18,45,54,401091,MTKGPS*08
,,,,
18,45,54,914094,MTKGPS*08
,,,,
18,45,55,427091,MTKGPS*08
,,,,
18,45,55,940092,V,,,,
18,45,56,453095,V,,,,
18,45,56,966090,V,,,,
18,45,57,482091,V,,,,
18,45,57,992008,V,,,,
18,45,58,505096,V,,,,
18,45,59,23093,MTKGPS*08
,,,,
18,45,59,536095,MTKGPS*08
,,,,
18,46,0,49095,MTKGPS*08
,,,,
18,46,0,565095,MTKGPS*08
,,,,
18,46,1,78093,MTKGPS*08
,,,,
18,46,1,596093,MTKGPS*08
,,,,
18,46,2,109095,MTKGPS*08
,,,,
18,46,2,622094,MTKGPS*08
,,,,
18,46,3,135092,MTKGPS*08
,,,,
18,46,3,651093,MTKGPS*08
,,,,
18,46,4,167090,MTKGPS*08
,,,,
18,46,4,680090,MTKGPS*08
,,,,
18,46,5,194091,MTKGPS*08
,,,,
18,46,5,705008,MTKGPS*08
,,,,
